Arrival_Date,Modal_Price_volatility_30_commodity
2025-01-01,3.8141117313179467
2025-01-02,4.7226714310916345
2025-01-03,5.265283563336772
2025-01-04,5.730346780436425
2025-01-05,6.363074665389909
2025-01-06,6.794961782104028
2025-01-07,7.084248580895502
2025-01-08,7.398793099216267
2025-01-09,7.7663193915097475
2025-01-10,8.132517011659514
2025-01-11,8.380102191298906
2025-01-12,8.641861302893629
2025-01-13,8.848058361167373
2025-01-14,9.009530460897848
2025-01-15,9.111351888719442
2025-01-16,9.116755919432276
2025-01-17,9.081268050635039
2025-01-18,9.075777149529031
2025-01-19,9.022707260574398
2025-01-20,9.070652256252764
2025-01-21,9.221936915420564
2025-01-22,9.409107695983957
2025-01-23,9.587266746630455
2025-01-24,9.56764460988286
2025-01-25,9.451748192933538
2025-01-26,9.33976182339921
2025-01-27,9.188793985580407
2025-01-28,8.972609910510899
2025-01-29,8.744639842420554
2025-01-30,8.582389758082375
2025-01-31,8.60224898666166
2025-02-01,8.55919264247935
2025-02-02,8.504769574455539
2025-02-03,8.435079035388428
2025-02-04,8.391566981039766
2025-02-05,8.252003445314047
2025-02-06,8.152350206006751
2025-02-07,7.962362808060278
2025-02-08,7.676006397778312
2025-02-09,7.271755964459552
2025-02-10,6.8760912098651525
2025-02-11,6.319799607902542
2025-02-12,5.752737282048842
2025-02-13,5.040257511678105
2025-02-14,4.268291573616448
2025-02-15,3.684936792139699
2025-02-16,3.2823058241879934
2025-02-17,3.003277944340148
2025-02-18,2.857409805411038
2025-02-19,2.73686389876644
2025-02-20,2.61474923823707
2025-02-21,2.4343821677353743
2025-02-22,2.2374970466510082
2025-02-23,2.2708634802960317
2025-02-24,2.294489381918908
2025-02-25,2.2625155042088454
2025-02-26,2.252072758465576
2025-02-27,2.2742164850583255
2025-02-28,2.4373478094797867
2025-03-01,2.4658868256414284
2025-03-02,2.542966475836447
2025-03-03,2.7347855344498764
2025-03-04,2.820554890507399
2025-03-05,2.7936269698998917
